Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
05-Mar-23,,purple,,,FULL TIME,https://likeaword.github.io/borderlines2023/img/FILM2023-32.jpg,"05 Mar, Starts:20:00. Ends: 21:28 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
06-Mar-23,,brown,,,RETURN TO DUST,https://likeaword.github.io/borderlines2023/img/FILM2023-55.jpg,"06 Mar, Starts:11:00. Ends: 13:14 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,purple,,,"MY SAILOR, MY LOVE",https://likeaword.github.io/borderlines2023/img/FILM2023-47.jpg,"06 Mar, Starts:11:30. Ends: 13:13 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,orange,,,CHARCOAL,https://likeaword.github.io/borderlines2023/img/FILM2023-20.jpg,"06 Mar, Starts:14:00. Ends: 15:47 approx. Theme: South America",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,green,,,THE WHALE,https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"06 Mar, Starts:14:00. Ends: 15:57 approx. Theme: Ties That Bind",Ludlow Assembly Rooms,52.3671434,-2.7229135
06-Mar-23,,purple,,,CORSAGE,https://likeaword.github.io/borderlines2023/img/FILM2023-22.jpg,"06 Mar, Starts:14:30. Ends: 16:23 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,brown,,,UNDER THE FIG TREES,https://likeaword.github.io/borderlines2023/img/FILM2023-61.jpg,"06 Mar, Starts:16:30. Ends: 18:02 approx. Theme: Land",Malvern Theatres,52.1103897,-2.3291562
06-Mar-23,,yellow,,,JOYLAND,https://likeaword.github.io/borderlines2023/img/FILM2023-37.jpg,"06 Mar, Starts:17:00. Ends: 19:06 approx. Theme: LGBTQ+",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,green,,,THE SON,https://likeaword.github.io/borderlines2023/img/FILM2023-58.jpg,"06 Mar, Starts:17:00. Ends: 19:03 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
06-Mar-23,,purple,,,WOMEN TALKING (Relaxed screening),https://likeaword.github.io/borderlines2023/img/FILM2023-65.jpg,"06 Mar, Starts:17:30. Ends: 19:14 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,red,,,HIDDEN LETTERS,https://likeaword.github.io/borderlines2023/img/FILM2023-34.jpg,"06 Mar, Starts:19:30. Ends: 20:58 approx. Theme: Talking Back",Ludlow Assembly Rooms,52.3671434,-2.7229135
06-Mar-23,,purple,,,LIVING,https://likeaword.github.io/borderlines2023/img/FILM2023-40.jpg,"06 Mar, Starts:19:30. Ends: 20:52 approx. Theme: other",Pencombe & Little Cowarne Parish Hall,52.1723476,-2.5865638
06-Mar-23,,purple,,,CREATURE,https://likeaword.github.io/borderlines2023/img/FILM2023-24.jpg,"06 Mar, Starts:19:45. Ends: 21:12 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
06-Mar-23,,purple,,,THE SILENT TWINS,https://likeaword.github.io/borderlines2023/img/FILM2023-57.jpg,"06 Mar, Starts:20:00. Ends: 21:53 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
06-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT?,https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"06 Mar, Starts:20:00. Ends: 21:48 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
06-Mar-23,,green,,,THE WHALE,https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"06 Mar, Starts:20:15. Ends: 22:12 approx. Theme: Ties That Bind",The Courtyard Hereford,52.0610499,-2.7209511
07-Mar-23,,brown,,,THE COW WHO SANG A SONG INTO THE FUTURE,https://likeaword.github.io/borderlines2023/img/FILM2023-23.jpg,"07 Mar, Starts:11:00. Ends: 12:38 approx. Theme: Land",The Courtyard Hereford,52.0610499,-2.7209511
07-Mar-23,,purple,,,LEONOR WILL NEVER DIE,https://likeaword.github.io/borderlines2023/img/FILM2023-39.jpg,"07 Mar, Starts:14:00. Ends: 15:41 approx. Theme: other",The Courtyard Hereford,52.0610499,-2.7209511
07-Mar-23,,yellow,,,BLUE JEAN,https://likeaword.github.io/borderlines2023/img/FILM2023-12.jpg,"07 Mar, Starts:16:30. Ends: 18:07 approx. Theme: LGBTQ+",Malvern Theatres,52.1103897,-2.3291562
07-Mar-23,,green,,,THE SON,https://likeaword.github.io/borderlines2023/img/FILM2023-58.jpg,"07 Mar, Starts:17:00. Ends: 19:03 approx. Theme: Ties That Bind",Malvern Theatres,52.1103897,-2.3291562
07-Mar-23,,red,,,ALL THE BEAUTY AND THE BLOODSHED (captioned),https://likeaword.github.io/borderlines2023/img/FILM2023-4.jpg,"07 Mar, Starts:17:30. Ends: 19:26 approx. Theme: Talking Back",The Courtyard Hereford,52.0610499,-2.7209511
07-Mar-23,,brown,,,GODLAND,https://likeaword.github.io/borderlines2023/img/FILM2023-33.jpg,"07 Mar, Starts:19:30. Ends: 21:53 approx. Theme: Land",Ludlow Assembly Rooms,52.3671434,-2.7229135
07-Mar-23,,orange,,,UTAMA,https://likeaword.github.io/borderlines2023/img/FILM2023-62.jpg,"07 Mar, Starts:19:30. Ends: 20:57 approx. Theme: South America","Michaelchurch Escley, Escleyside Hall",52.0130651,-3.0094486
07-Mar-23,,purple,,,WHAT'S LOVE GOT TO DO WITH IT?,https://likeaword.github.io/borderlines2023/img/FILM2023-64.jpg,"07 Mar, Starts:19:45. Ends: 21:33 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
07-Mar-23,,yellow,,,JOYLAND,https://likeaword.github.io/borderlines2023/img/FILM2023-37.jpg,"07 Mar, Starts:20:00. Ends: 22:06 approx. Theme: LGBTQ+",The Courtyard Hereford,52.0610499,-2.7209511
07-Mar-23,,brown,,,UNDER THE FIG TREES,https://likeaword.github.io/borderlines2023/img/FILM2023-61.jpg,"07 Mar, Starts:20:00. Ends: 21:32 approx. Theme: Land",Malvern Theatres,52.1103897,-2.3291562
08-Mar-23,,yellow,,,BLUE JEAN,https://likeaword.github.io/borderlines2023/img/FILM2023-12.jpg,"08 Mar, Starts:11:00. Ends: 12:37 approx. Theme: LGBTQ+",The Courtyard Hereford,52.0610499,-2.7209511
08-Mar-23,,green,,,THE WHALE,https://likeaword.github.io/borderlines2023/img/FILM2023-63.jpg,"08 Mar, Starts:11:15. Ends: 13:12 approx. Theme: Ties That Bind",The Courtyard Hereford,52.0610499,-2.7209511
08-Mar-23,,brown,,,ALCARRÀS,https://likeaword.github.io/borderlines2023/img/FILM2023-3.jpg,"08 Mar, Starts:13:30. Ends: 15:30 approx. Theme: Land",Malvern Theatres,52.1103897,-2.3291562
08-Mar-23,,green,,,AFTERSUN + GREGORY OKE (captioned),https://likeaword.github.io/borderlines2023/img/FILM2023-2.jpg,"08 Mar, Starts:14:00. Ends: 16:03 approx. Theme: Ties That Bind",The Courtyard Hereford,52.0610499,-2.7209511
08-Mar-23,,purple,,,CLOSE,https://likeaword.github.io/borderlines2023/img/FILM2023-21.jpg,"08 Mar, Starts:14:00. Ends: 15:45 approx. Theme: other",Malvern Theatres,52.1103897,-2.3291562
